unit_id,unit_name,attack,skill1,skill2,skillsp1
100101,ヒヨリ,62,120,110,0
100201,ユイ,84,120,128,0
100301,レイ,71,131,23,0
100401,ミソギ,62,102,125,0
100501,マツリ,65,116,140,0
100601,アカリ,71,125,120,0
100701,ミヤコ,92,390,188,0
100801,ユキ,84,101,120,0
100901,アンナ,68,84,215,0
101001,マホ,84,125,89,0
101101,リノ,90,140,114,0
101201,ハツネ,84,120,120,0
101301,ナナカ,84,149,140,0
101401,カスミ,84,143,134,0
101501,ミサト,84,149,120,0
101601,スズナ,90,203,120,203
101701,カオリ,62,120,120,0
101801,イオ,68,116,137,0
102001,ミミ,68,144,170,0
102101,クルミ,92,120,120,0
102201,ヨリ,71,120,137,0
102301,アヤネ,92,120,131,0
102501,スズメ,84,120,128,0
102601,リン,71,161,161,0
102701,エリコ,92,120,120,0
102801,サレン,71,120,120,0
102901,ノゾミ,71,120,96,0
103001,ニノン,68,84,144,0
103101,シノブ,68,113,74,0
103201,アキノ,68,125,188,0
103301,マヒル,71,120,120,0
103401,ユカリ,68,120,137,0
103601,キョウカ,84,131,110,0
103701,トモ,71,150,113,0
103801,シオリ,90,158,114,0
104001,アオイ,90,140,140,0
104201,チカ,84,126,95,0
104301,マコト,68,120,74,0
104401,イリヤ,92,120,137,0
104501,クウカ,65,180,120,0
104601,タマキ,65,108,108,0
104701,ジュン,68,174,150,0
104801,ミフユ,71,120,116,0
104901,シズル,68,120,120,0
105001,ミサキ,84,120,150,0
105101,ミツキ,68,110,179,0
105201,リマ,71,0,113,0
105301,モニカ,71,140,152,0
105401,ツムギ,62,144,131,0
105501,アユミ,71,170,260,0
105601,ルカ,71,77,161,0
105701,ジータ,71,120,120,0
105801,ペコリーヌ,68,182,122,0
105901,コッコロ,71,164,120,0
106001,キャル,84,128,155,0
106101,ムイミ,65,161,161,0
106301,アリサ,90,114,150,0
106401,シェフィ,71,128,161,101
106501,カヤ,62,140,161,0
106601,イノリ,92,161,161,0
106701,ホマレ,84,161,126,101
106801,ラビリスタ,71,161,161,161
106901,カイザーインサイト,92,161,161,92
107001,ネネカ,80,140,161,0
107101,クリスティーナ,71,161,90,0
107501,ペコリーヌ（サマー）,68,185,120,0
107601,コッコロ（サマー）,71,155,161,0
107701,スズメ（サマー）,84,144,140,0
107801,キャル（サマー）,84,161,137,0
107901,タマキ（サマー）,65,158,113,0
108001,ミフユ（サマー）,71,132,125,0
108101,シノブ（ハロウィン）,92,119,125,0
108201,ミヤコ（ハロウィン）,62,167,161,0
108301,ミサキ（ハロウィン）,84,161,161,0
108401,チカ（クリスマス）,84,131,156,0
108501,クルミ（クリスマス）,92,35,134,0
108601,アヤネ（クリスマス）,92,108,114,0
108701,ヒヨリ（ニューイヤー）,62,120,125,0
108801,ユイ（ニューイヤー）,84,120,131,0
108901,レイ（ニューイヤー）,71,54,120,0
109001,エリコ（バレンタイン）,92,158,156,0
109101,シズル（バレンタイン）,68,161,161,0
109201,アン,71,161,140,0
109301,ルゥ,71,180,180,0
109401,グレア,62,131,140,0
109501,クウカ（オーエド）,65,162,161,0
109601,ニノン（オーエド）,65,161,161,0
109701,レム,90,137,161,0
109801,ラム,90,161,161,0
109901,エミリア,71,167,161,71
110001,スズナ（サマー）,90,150,150,0
110101,イオ（サマー）,68,161,161,0
110201,ミサキ（サマー）,84,0,0,0
110301,サレン（サマー）,71,161,161,0
110401,マコト（サマー）,68,161,143,0
110501,カオリ（サマー）,62,143,185,0
110601,マホ（サマー）,84,161,125,0
110701,アオイ（編入生）,90,150,137,0
110801,クロエ,65,161,170,0
110901,チエル,62,150,161,0
111001,ユニ,71,170,170,0
111101,キョウカ（ハロウィン）,84,140,158,0
111201,ミソギ（ハロウィン）,62,161,161,0
111301,ミミ（ハロウィン）,68,200,180,0
111401,ルナ,90,161,161,161
111501,クリスティーナ（クリスマス）,71,161,146,0
111601,ノゾミ（クリスマス）,71,161,150,0
111701,イリヤ（クリスマス）,92,156,161,0
111801,ペコリーヌ（ニューイヤー）,71,161,140,0
111901,コッコロ（ニューイヤー）,71,176,161,0
112001,キャル（ニューイヤー）,84,161,161,0
112101,スズメ（ニューイヤー）,84,161,161,0
112201,カスミ（マジカル）,84,161,161,0
